Position,Level,Salary
HR Manager,10,1003858
Sales Director,4,80153
Data Scientist,7,199943
Product Manager,3,59707
Sales Director,4,81355
Senior Partner,10,1001630
Junior Consultant,9,504801
Partner,9,495636
Financial Analyst,6,152344
C-level,2,50572
Business Analyst,7,196150
CEO,7,200925
C-level,3,59399
UX/UI Designer,2,49147
Product Manager,5,114681
Operations Manager,7,197712
Senior Consultant,8,299741
Software Engineer,6,149700
Product Manager,5,110701
Region Manager,1,49324
Data Scientist,3,59682
Product Manager,2,53859
Content Strategist,1,45181
Junior Consultant,4,75727
Business Analyst,1,46140
Business Analyst,4,80817
Sales Director,3,64256
Marketing Specialist,10,996213
Senior Consultant,7,201560
Sales Director,1,49748
Financial Analyst,4,84537
Junior Consultant,2,47828
HR Manager,4,78117
Software Engineer,5,111638
Business Analyst,5,106659
Business Analyst,9,497349
Data Scientist,10,1001009
Product Manager,2,54480
Junior Consultant,3,63353
UX/UI Designer,7,195016
Financial Analyst,4,76565
HR Manager,6,147368
C-level,3,63484
C-level,1,42393
UX/UI Designer,3,61354
Software Engineer,7,196483
C-level,8,297004
Senior Consultant,3,63454
Business Analyst,6,145428
Data Scientist,4,80969
HR Manager,4,76534
Software Engineer,1,40372
Marketing Specialist,3,58667
Software Engineer,4,81690
Operations Manager,4,80752
Partner,8,300286
Senior Consultant,1,45547
Sales Director,1,42932
Partner,10,1004581
Manager,9,495031
Country Manager,5,110584
C-level,8,298071
Sales Director,8,299562
Operations Manager,10,1000734
Marketing Specialist,5,108621
Country Manager,6,153707
Senior Consultant,10,996722
CEO,10,995901
Senior Consultant,8,303823
HR Manager,3,58183
Content Strategist,4,80351
Software Engineer,7,204783
UX/UI Designer,10,1002845
CEO,9,496710
Data Scientist,8,300541
C-level,3,62127
Financial Analyst,3,64745
C-level,3,55485
Content Strategist,2,51194
Business Analyst,10,1004066
Region Manager,10,995883
Country Manager,5,109558
Junior Consultant,4,84490
Country Manager,10,1003161
Partner,6,149021
Financial Analyst,3,64091
Data Scientist,2,48391
Financial Analyst,10,1000663
Operations Manager,5,112060
Region Manager,6,149327
Content Strategist,4,78304
Content Strategist,7,196646
Product Manager,7,203319
Junior Consultant,8,301358
Sales Director,2,47713
Operations Manager,6,146860
Partner,2,49176
Business Analyst,8,300005
UX/UI Designer,3,57717
Sales Director,1,40061
Manager,8,303772
C-level,6,148698
Junior Consultant,8,303682
Junior Consultant,4,75664
CEO,4,81756
Operations Manager,6,146703
CEO,7,195090
Senior Consultant,8,300199
Business Analyst,2,50242
Marketing Specialist,2,47851
Financial Analyst,10,996993
Senior Partner,5,111592
Sales Director,9,498364
UX/UI Designer,4,82049
Manager,6,152548
Junior Consultant,8,295443
Region Manager,6,154185
Business Analyst,7,200693
Software Engineer,4,79159
Product Manager,7,200910
Software Engineer,3,57792
Marketing Specialist,3,61267
Financial Analyst,2,53233
Manager,10,996160
HR Manager,4,81524
Operations Manager,4,80109
Partner,1,44155
Content Strategist,4,76973
Content Strategist,5,111765
Sales Director,7,199483
Manager,10,999461
Senior Consultant,5,112261
Junior Consultant,8,296251
Partner,5,113812
Product Manager,9,497877
Sales Director,9,502052
Content Strategist,10,1001479
Manager,7,202469
Financial Analyst,3,64173
Product Manager,4,79247
CEO,1,41896
Marketing Specialist,6,152587
Operations Manager,9,503979
UX/UI Designer,6,147154
HR Manager,1,47802
Partner,4,80907
Product Manager,5,105558
Marketing Specialist,2,51662
Junior Consultant,2,54439
Sales Director,10,1000402
C-level,4,80979
Sales Director,5,113409
Region Manager,5,110465
Operations Manager,8,300674
HR Manager,9,500092
Senior Partner,3,63948
Operations Manager,4,82258
Operations Manager,9,503224
Product Manager,2,45789
Business Analyst,5,105935
Partner,7,201235
Senior Partner,2,48123
Data Scientist,10,997627
Sales Director,7,198288
Data Scientist,3,58764
Data Scientist,8,298883
Business Analyst,3,64279
Sales Director,5,111752
Software Engineer,7,197576
Senior Partner,3,61419
Operations Manager,9,503225
Manager,5,105661
UX/UI Designer,3,60143
Senior Partner,7,203623
Region Manager,6,152598
Product Manager,3,61426
Sales Director,7,198626
CEO,8,304467
HR Manager,3,64989
Partner,3,59977
Product Manager,2,45762
Software Engineer,3,55579
C-level,6,146728
Software Engineer,4,79581
UX/UI Designer,6,153051
Data Scientist,10,1004223
Financial Analyst,3,58921
Business Analyst,10,995579
Software Engineer,1,49005
Sales Director,3,63989
Country Manager,7,195923
Junior Consultant,3,56274
Content Strategist,2,49251
Region Manager,10,998896
Data Scientist,1,40765
Software Engineer,7,196675
UX/UI Designer,1,42495
Content Strategist,8,298597
Junior Consultant,1,49254
CEO,7,201809
Data Scientist,2,51143
Content Strategist,7,197476
C-level,3,56029
Data Scientist,1,47163
Partner,5,108718
Senior Partner,8,296335
Manager,6,146386
Data Scientist,7,196167
UX/UI Designer,1,49782
Country Manager,9,498673
Data Scientist,2,48033
Country Manager,2,45797
CEO,4,78385
Content Strategist,8,300615
Data Scientist,3,60704
UX/UI Designer,9,502031
C-level,5,109442
Partner,4,82862
C-level,3,64400
Sales Director,9,496907
Data Scientist,1,45617
Country Manager,5,109289
Region Manager,6,145755
C-level,2,54347
Data Scientist,1,46987
Software Engineer,8,303911
HR Manager,8,300977
Sales Director,10,995052
Country Manager,7,196046
Financial Analyst,4,78248
Marketing Specialist,2,46679
Product Manager,9,499320
Region Manager,9,504770
Financial Analyst,2,53757
HR Manager,1,42270
Content Strategist,4,82084
CEO,1,47527
C-level,1,44041
Operations Manager,2,47524
Marketing Specialist,7,199962
Operations Manager,3,62476
CEO,8,295075
Software Engineer,6,147588
Business Analyst,6,153999
Financial Analyst,4,78135
C-level,8,298226
Content Strategist,2,46309
Content Strategist,8,297799
Sales Director,2,54721
Content Strategist,7,198469
Junior Consultant,4,81996
Business Analyst,10,1002666
C-level,4,81342
CEO,4,83856
CEO,10,996087
Senior Consultant,9,502750
C-level,4,84816
C-level,9,504493
Business Analyst,2,49580
Operations Manager,8,303746
Operations Manager,1,44659
Country Manager,10,1000228
Region Manager,6,149219
Senior Consultant,4,78033
Senior Consultant,4,78670
Senior Consultant,6,153920
Operations Manager,6,146894
Senior Consultant,6,145788
Senior Partner,3,64168
Partner,3,56622
Region Manager,10,995759
Partner,2,45543
Sales Director,9,496153
HR Manager,5,106326
C-level,7,204553
UX/UI Designer,2,52240
Region Manager,6,152120
UX/UI Designer,1,41392
UX/UI Designer,10,996140
Content Strategist,6,146383
Software Engineer,8,300575
Marketing Specialist,3,60745
Product Manager,10,1001121
Manager,1,45527
Country Manager,1,45791
Region Manager,5,105384
Content Strategist,4,79717
Senior Partner,10,1004968
Software Engineer,4,79910
C-level,8,299663
HR Manager,9,497536
C-level,7,198882
Sales Director,7,196621
UX/UI Designer,8,297142
Partner,1,45194
UX/UI Designer,9,500789
Junior Consultant,7,196373
Sales Director,3,59776
Sales Director,4,78241
Sales Director,6,148733
Content Strategist,3,58615
Senior Consultant,5,106024
Senior Consultant,10,999985
Manager,8,301019
CEO,3,62880
Operations Manager,5,106788
Content Strategist,10,995581
HR Manager,1,42088
Content Strategist,9,503155
Senior Consultant,8,295477
Junior Consultant,1,48638
Business Analyst,7,201591
Business Analyst,2,50150
Software Engineer,8,301436
Junior Consultant,3,57312
Region Manager,6,150071
Sales Director,10,1003667
Software Engineer,3,60273
Data Scientist,3,55094
Region Manager,10,996774
Senior Partner,4,84529
C-level,3,64947
Operations Manager,1,44699
CEO,3,58321
Senior Consultant,3,58930
Sales Director,2,47491
Manager,6,150684
Sales Director,2,52530
Country Manager,5,114479
Operations Manager,3,60061
Junior Consultant,8,304832
Data Scientist,8,301365
Senior Partner,9,501511
Software Engineer,8,300635
Business Analyst,7,204955
Sales Director,4,77255
Operations Manager,4,78592
UX/UI Designer,7,198737
Content Strategist,9,495347
Financial Analyst,8,295323
Senior Consultant,6,146989
CEO,3,60246
UX/UI Designer,8,295397
UX/UI Designer,4,80352
CEO,8,296622
UX/UI Designer,8,296241
Operations Manager,6,148308
Sales Director,5,111997
UX/UI Designer,8,295143
Product Manager,9,498156
Manager,3,61361
Country Manager,10,1002762
Business Analyst,5,110738
Manager,7,201499
Sales Director,10,1002894
Business Analyst,1,43080
Product Manager,4,78331
Content Strategist,4,81037
HR Manager,7,202214
Business Analyst,4,82632
CEO,4,75753
Senior Consultant,6,153551
Business Analyst,6,145578
Manager,2,48112
Region Manager,5,107236
Data Scientist,2,50820
Junior Consultant,6,154919
UX/UI Designer,4,80740
Senior Partner,5,111831
HR Manager,6,150014
Partner,6,152181
Manager,2,47776
HR Manager,8,302123
Partner,10,997544
Manager,1,41481
Data Scientist,1,44993
Country Manager,7,198283
Country Manager,2,49353
CEO,7,203128
Manager,4,82337
Product Manager,7,195152
Region Manager,1,47313
CEO,5,105192
Senior Partner,8,298310
Manager,8,298352
Financial Analyst,10,1001428
C-level,9,498487
Content Strategist,3,55297
Marketing Specialist,7,197137
Business Analyst,10,999456
Senior Consultant,9,502509
Financial Analyst,7,198821
CEO,4,80406
Junior Consultant,2,47644
Content Strategist,3,61456
Financial Analyst,4,80500
Software Engineer,2,51920
Operations Manager,8,304853
Data Scientist,3,61688
Junior Consultant,1,47721
CEO,1,48961
Product Manager,4,77324
Product Manager,5,110100
Product Manager,10,1001542
Sales Director,1,46461
C-level,9,503002
Sales Director,7,203947
Manager,10,1000847
Operations Manager,6,146178
Senior Partner,8,299560
Data Scientist,9,496905
CEO,9,496591
Product Manager,6,146828
Financial Analyst,8,296137
Sales Director,5,114199
CEO,9,495436
Financial Analyst,5,106677
HR Manager,4,75302
Operations Manager,10,1002739
Data Scientist,10,995123
Senior Partner,9,496108
Partner,9,495302
Region Manager,5,112123
C-level,8,299787
Operations Manager,10,1000040
C-level,10,998712
Software Engineer,3,56430
Product Manager,3,61418
Senior Partner,1,45563
Senior Partner,4,80132
Data Scientist,2,49185
Region Manager,10,1003475
Country Manager,6,154359
CEO,2,54715
Junior Consultant,9,501229
Operations Manager,8,301090
Operations Manager,10,997685
Partner,5,114520
Content Strategist,9,501827
Financial Analyst,8,296625
Manager,3,61400
C-level,3,61660
Sales Director,2,51099
Data Scientist,9,497779
HR Manager,5,113516
Data Scientist,9,499847
Sales Director,4,82674
Business Analyst,4,79226
Country Manager,5,111704
Partner,7,203796
Partner,9,503440
Data Scientist,3,63310
Sales Director,7,198156
Marketing Specialist,5,108270
Manager,8,295497
Data Scientist,7,201885
Senior Partner,4,76060
Partner,6,153779
CEO,1,42928
C-level,1,45753
Financial Analyst,6,146188
UX/UI Designer,8,299076
Operations Manager,1,43120
UX/UI Designer,6,152749
Region Manager,1,48487
CEO,4,83791
Junior Consultant,9,499001
Operations Manager,7,202698
C-level,1,48284
Content Strategist,10,996179
Content Strategist,6,145705
Software Engineer,1,44758
Financial Analyst,7,200459
Software Engineer,5,108284
Senior Consultant,8,295738
CEO,1,45355
Business Analyst,2,50793
Country Manager,9,500055
Manager,10,995960
Operations Manager,3,60194
Country Manager,1,42151
UX/UI Designer,10,1004025
Product Manager,2,48289
UX/UI Designer,10,995282
Marketing Specialist,4,77078
Marketing Specialist,8,296331
Data Scientist,9,500613
CEO,9,497396
Senior Partner,7,204558
Financial Analyst,4,82324
Product Manager,3,55957
Manager,1,45847
Operations Manager,5,106362
Marketing Specialist,9,503318
Manager,5,111217
Senior Partner,1,46817
CEO,10,998619
Senior Consultant,9,500786
C-level,3,56196
Country Manager,1,49379
Sales Director,4,81286
UX/UI Designer,1,42052
Operations Manager,7,197539
CEO,1,49664
Content Strategist,5,113663
Junior Consultant,3,58636
Partner,10,998571
Software Engineer,4,80135
C-level,4,78896
Marketing Specialist,1,44787
Manager,10,999566
Marketing Specialist,2,48544
Partner,1,44045
Content Strategist,5,105826
Operations Manager,3,57205
Senior Consultant,2,52697
Country Manager,9,503365
Content Strategist,5,105109
Marketing Specialist,8,297559
Region Manager,2,50685
Product Manager,9,499939
Sales Director,6,152513
Marketing Specialist,10,995619
Marketing Specialist,2,49400
Country Manager,10,1002836
Sales Director,7,200716
Senior Partner,7,197890
CEO,3,56787
UX/UI Designer,10,999689
Partner,10,1001528
Country Manager,8,301465
UX/UI Designer,2,47874
UX/UI Designer,2,52483
UX/UI Designer,7,202055
UX/UI Designer,7,197204
Country Manager,2,53761
Software Engineer,7,196857
Junior Consultant,8,299504
Software Engineer,3,61921
Marketing Specialist,2,51351
Junior Consultant,2,53583
C-level,2,49405
C-level,4,78009
C-level,4,80622
Country Manager,3,64577
Junior Consultant,2,46614
Senior Consultant,6,153584
Product Manager,2,46003
UX/UI Designer,6,151954
Financial Analyst,8,303117
Software Engineer,1,44552
C-level,9,497843
UX/UI Designer,3,59735
Marketing Specialist,8,301301
Business Analyst,9,495808
Operations Manager,5,107565
Partner,4,80969
Content Strategist,7,195821
Content Strategist,5,112224
UX/UI Designer,10,996673
Junior Consultant,10,1004560
Business Analyst,1,41650
Product Manager,7,196426
Marketing Specialist,7,200469
Region Manager,7,197689
Region Manager,1,47714
Partner,9,498858
Marketing Specialist,6,153713
Data Scientist,1,43520
Operations Manager,3,63408
Financial Analyst,1,47532
Region Manager,1,40013
Senior Partner,4,84062
HR Manager,3,61822
Software Engineer,3,55901
Software Engineer,3,57039
Manager,9,502670
Manager,3,63875
CEO,4,76827
C-level,4,80897
Manager,6,148502
Region Manager,5,113418
Senior Consultant,6,149300
Partner,6,153028
Operations Manager,4,83592
Data Scientist,7,195883
Junior Consultant,5,106594
C-level,3,64195
Content Strategist,8,298209
Marketing Specialist,4,76293
Operations Manager,8,298930
Senior Consultant,7,202704
Financial Analyst,10,1001180
Manager,5,109637
Business Analyst,10,998452
UX/UI Designer,10,996019
C-level,10,1003526
Content Strategist,6,151931
Financial Analyst,8,296592
Junior Consultant,2,52673
Business Analyst,3,62364
Content Strategist,1,43115
Product Manager,4,81721
Data Scientist,3,62896
Marketing Specialist,1,45280
C-level,5,110615
Marketing Specialist,9,499126
Region Manager,1,42384
Marketing Specialist,4,80964
Region Manager,3,59417
Product Manager,2,49305
Senior Consultant,3,60322
HR Manager,2,50120
Business Analyst,4,84875
Manager,10,1002386
Business Analyst,3,59460
HR Manager,2,50217
Country Manager,8,304436
Marketing Specialist,9,501267
HR Manager,8,300077
Operations Manager,9,498533
Country Manager,3,63578
Marketing Specialist,8,303077
UX/UI Designer,4,80129
Manager,5,110257
Junior Consultant,10,1001809
Junior Consultant,7,195312
Marketing Specialist,2,47551
Business Analyst,6,149385
Marketing Specialist,6,153091
CEO,1,48410
Senior Partner,6,154818
Sales Director,7,196898
